,,Git Iris,
,"Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",Yes,GH
Q6 - Your software's maintai0bility,Is your software’s architecture and design modular?,Yes,
,Does your software use an accepted coding standard or convention?,No,
Q7 - Open standards and your software,"Does your software allow data to be imported and exported using open data formats? e.g. GIF, SVG, HTML, XML, tar, zip, CSV, JSON, NetCDF, or domain specific ones",Yes,
,"Does your software allow communications using open communications protocols? e.g. HTTP, FTP, XMPP, SOAP over HTTP,  or domain-specific ones",Yes,For common git command implementations
Q8 - Your software's portability,"Is your software cross-platform compatible? e.g. does it run under two or more of Windows, Unix/Linux and Mac OS X, or can be used from within two or more of Internet Explorer, Chrome, Firefox and Safari?",Yes,Works with Mac/Linux/Windows
Q9 - Your software and accessibility,Does your software adhere to appropriate accessibility conventions or standards?,Yes,
,Does your documentation adhere to appropriate accessibility conventions or standards?,Yes,
Q10 - How do you ma0ge your source code?,Is your source code stored in a repository under revision control?,Yes,GH
,Does each source code release a snapshot of the repository?,No,
,Are releases tagged in the repository?,No,
,"Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)",Yes,Main branch
,Do you back-up your repository?,Yes,Copies stored by contributors
Q11 - Building and installing your software,Do you provide publicly-available instructions for building your software from the source code?,Yes,README
,"Can you build, or package, your software using an automated tool?",No,
,Do you provide publicly-available instructions for deploying your software?,Yes,README
,Does your documentation list all third-party dependencies?,Yes,https://github.com/hiralbhanu/GITS2.1-I.R.I.S/tree/4173cd64813664dc8edd4af993dfa50c1e47a780/code
, Does your documentation list the version number for all third-party dependencies?,Yes,https://github.com/hiralbhanu/GITS2.1-I.R.I.S/tree/4173cd64813664dc8edd4af993dfa50c1e47a780/code
,"Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",No,
,Can you download dependencies using a dependency management tool or package manager?,No,
,Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,No,
Q12 - How you test your software,"Do you have an automated test suite for your software?
",Yes,https://github.com/hiralbhanu/GITS2.1-I.R.I.S/tree/4173cd64813664dc8edd4af993dfa50c1e47a780/test
,Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,No,
,"Do you use continuous integration, automatically running tests whenever changes are made to your source code?",No,
,Are your test results publicly visible?,Yes,https://github.com/hiralbhanu/GITS2.1-I.R.I.S/tree/4173cd64813664dc8edd4af993dfa50c1e47a780/test
,Does your website state how many projects and users are associated with your project?,No,
,Do you provide success stories on your website?,No,
,Do you list your important partners and collaborators on your website?,Yes,Contributors section
,Do you list your project's publications on your website or link to a resource where these are available?,No,
,Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,No,
,Can users subscribe to notifications to changes to your source code repository?,Yes,GH feature
,"If your software is developed as an open source project (and just a project developing open source software), do you have a governance model?",Yes,Contributing.md files provide guidelines for contributions
Q14 - How you ma0ge contributions,"Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",Yes,https://github.com/hiralbhanu/GITS2.1-I.R.I.S/blob/4173cd64813664dc8edd4af993dfa50c1e47a780/CONTRIBUTING.md
, Do you have a contributions policy?,Yes,https://github.com/hiralbhanu/GITS2.1-I.R.I.S/blob/4173cd64813664dc8edd4af993dfa50c1e47a780/CONTRIBUTING.md
,Is your contributions' policy publicly available,yes,https://github.com/hiralbhanu/GITS2.1-I.R.I.S/blob/4173cd64813664dc8edd4af993dfa50c1e47a780/CONTRIBUTING.md
,Do contributors keep the copyright/IP of their contributions,No,
Q15 - Your software's copyright and licensing,Does your website and documentation clearly state the copyright owners of your software and documentation?,No,
,Does each of your source code files include a copyright statement?,No,
,Does your website and documentation clearly state the licence of your software?,Yes,https://github.com/hiralbhanu/GITS2.1-I.R.I.S/blob/4173cd64813664dc8edd4af993dfa50c1e47a780/LICENSE
,Is your software released under an open source licence?,Yes,MIT License
,Is your software released under an OSI-approved open-source licence?,Yes,MIT License
,Does each of your source code files include a licence header?,No,
,Do you have a recommended citation for your software?,Yes,Citation.md
Q16 - Your plans for the future,"Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",No,
,"Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",No,
,"Do you make timely announcements of the deprecation of components, APIs, etc.?",No,
